{0,0x003A,0x0004,CS,1,"""Waveform Originality""",},//
{0,0x003A,0x0005,US,1,"""Number of Waveform Channels """,},//
{0,0x003A,0x0010,UL,1,"""Number of Waveform Samples """,},//
{0,0x003A,0x001A,DS,1,"""Sampling Frequency """,},//
{0,0x003A,0x0020,SH,1,"""Multiplex Group Label """,},//
{0,0x003A,0x0200,SQ,1,"""Channel Definition Sequence""",},//
{0,0x003A,0x0202,IS,1,"""Waveform Channel Number """,},//
{0,0x003A,0x0203,SH,1,"""Channel Label""",},//
{0,0x003A,0x0205,CS,-1,"""Channel Status""",},//
{0,0x003A,0x0208,SQ,1,"""Channel Source Sequence""",},//
{0,0x003A,0x0209,SQ,1,"""Channel Source Modifiers Sequence""",},//
{0,0x003A,0x020A,SQ,1,"""Source Waveform Sequence""",},//
{0,0x003A,0x020C,LO,1,"""Channel Derivation Description""",},//
{0,0x003A,0x0210,DS,1,"""Channel Sensitivity """,},//
{0,0x003A,0x0211,SQ,1,"""Channel Sensitivity Units Sequence""",},//
{0,0x003A,0x0212,DS,1,"""Channel Sensitivity Correction Factor""",},//
{0,0x003A,0x0213,DS,1,"""Channel Baseline """,},//
{0,0x003A,0x0214,DS,1,"""Channel Time Skew""",},//
{0,0x003A,0x0215,DS,1,"""Channel Sample Skew""",},//
{0,0x003A,0x0218,DS,1,"""Channel Offset""",},//
{0,0x003A,0x021A,US,1,"""Waveform Bits Stored""",},//
{0,0x003A,0x0220,DS,1,"""Filter Low Frequency""",},//
{0,0x003A,0x0221,DS,1,"""Filter High Frequency""",},//
{0,0x003A,0x0222,DS,1,"""Notch Filter Frequency""",},//
{0,0x003A,0x0223,DS,1,"""Notch Filter Bandwidth""",},//
{0,0x003A,0x0230,FL,1,"""Waveform Data Display Scale""",},//
{0,0x003A,0x0231,US,3,"""Waveform Display Background CIELab Value""",},//
{0,0x003A,0x0240,SQ,1,"""Waveform Presentation Group Sequence""",},//
{0,0x003A,0x0241,US,1,"""Presentation Group Number""",},//
{0,0x003A,0x0242,SQ,1,"""Channel Display Sequence""",},//
{0,0x003A,0x0244,US,3,"""Channel Recommended Display CIELab Value""",},//
{0,0x003A,0x0245,FL,1,"""Channel Position""",},//
{0,0x003A,0x0246,CS,1,"""Display Shading Flag""",},//
{0,0x003A,0x0247,FL,1,"""Fractional Channel Display Scale""",},//
{0,0x003A,0x0248,FL,1,"""Absolute Channel Display Scale""",},//
{0,0x003A,0x0300,SQ,1,"""Multiplexed Audio Channels Description Code Sequence""",},//
{0,0x003A,0x0301,IS,1,"""Channel Identification Code""",},//
{0,0x003A,0x0302,CS,1,"""Channel Mode""",},//
{0,0x0000,0x0000,UNKNOWN,0,"""Data End""",},//
